City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
124,Oksfjord,NO,70.2396,22.3479,45.0,92,100,5.55,overcast clouds
125,Wanning,CN,18.8003,110.3967,79.7,93,31,9.55,scattered clouds
126,Khatanga,RU,71.9667,102.5,31.21,95,100,10.67,overcast clouds
127,Ancud,CL,-41.8697,-73.8203,47.86,65,93,9.24,overcast clouds
128,Bhuj,IN,23.2667,69.6667,81.46,77,18,18.48,few clouds
129,Severo-Kurilsk,RU,50.6789,156.125,43.68,98,100,7.52,overcast clouds
130,Bowen,AU,-20.0167,148.2333,64.85,64,5,5.84,clear sky
131,Maniitsoq,GL,65.4167,-52.9,33.04,86,38,19.82,scattered clouds
132,Anori,BR,-3.7728,-61.6442,84.45,72,60,3.98,broken clouds
133,Kirakira,SB,-10.4544,161.9205,79.3,81,92,1.68,overcast clouds
134,Kidal,ML,18.4411,1.4078,100.04,11,5,3.96,clear sky
135,Newcastle,AU,-32.9272,151.7765,53.78,91,1,13.8,clear sky
136,Dabat,ET,12.9842,37.765,67.01,19,97,3.94,overcast clouds
137,Touros,BR,-5.1989,-35.4608,81.21,73,100,7.61,overcast clouds
138,Bengkulu,ID,-3.8004,102.2655,74.75,85,99,3.27,overcast clouds
139,Hofn,IS,64.2539,-15.2082,50.0,73,0,11.68,clear sky
140,Qaqortoq,GL,60.7167,-46.0333,44.64,61,3,4.59,clear sky
141,Alofi,NU,-19.0595,-169.9187,76.89,88,100,4.61,overcast clouds
142,Provideniya,RU,64.3833,-173.3,43.45,75,26,5.88,scattered clouds
143,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,74.07,96,100,6.2,light rain
144,Narsaq,GL,60.9167,-46.05,57.42,46,4,6.15,clear sky
145,Stevens Point,US,44.5236,-89.5746,69.94,49,100,10.0,overcast clouds
146,Amga,RU,60.8953,131.9608,49.39,65,100,9.64,overcast clouds
147,Nouadhibou,MR,20.931,-17.0347,69.78,78,6,23.02,clear sky
148,Ranong,TH,9.9658,98.6348,79.7,85,100,12.66,overcast clouds
149,Mahebourg,MU,-20.4081,57.7,75.49,73,40,13.8,scattered clouds
150,Victoria,HK,22.2855,114.1577,84.38,85,93,13.0,overcast clouds
151,Ola,RU,59.5833,151.2833,39.15,92,82,4.27,broken clouds
152,Sitka,US,57.0531,-135.33,51.69,76,75,3.44,broken clouds
153,Lagoa,PT,39.05,-27.9833,58.93,69,89,18.14,light rain
