City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
101,Grand Forks,US,2022-05-03 19:53:15,47.9417,-97.4337,48.13,57,75,0.0
102,Barrow,US,2022-05-03 19:50:01,71.2906,-156.7887,23.02,86,100,10.36
103,Kloulklubed,PW,2022-05-03 19:53:16,7.0419,134.2556,83.7,75,26,12.95
104,Iralaya,HN,2022-05-03 19:53:17,15.0,-83.2333,83.46,74,46,11.25
105,Yellowknife,CA,2022-05-03 19:53:17,62.456,-114.3525,43.32,56,75,23.02
106,Samarai,PG,2022-05-03 19:53:18,-10.6167,150.6667,80.73,79,8,3.42
107,Marawi,PH,2022-05-03 19:53:18,7.9986,124.2928,69.06,94,97,1.48
108,Los Llanos De Aridane,ES,2022-05-03 19:53:18,28.6585,-17.9182,64.15,78,75,14.97
109,Quatre Cocos,MU,2022-05-03 19:53:19,-20.2078,57.7625,77.11,84,46,12.35
110,San Borja,BO,2022-05-03 19:53:19,-14.8167,-66.85,63.39,91,100,10.11
111,Severo-Kurilsk,RU,2022-05-03 19:50:07,50.6789,156.125,34.75,99,100,10.87
112,Aparecida,BR,2022-05-03 19:53:20,-22.8469,-45.2297,89.29,40,40,4.61
113,Escarcega,MX,2022-05-03 19:53:21,18.6089,-90.7454,101.62,26,100,5.12
114,Cidreira,BR,2022-05-03 19:53:22,-30.1811,-50.2056,64.17,92,100,20.78
115,Caravelas,BR,2022-05-03 19:53:22,-17.7125,-39.2481,77.14,72,0,5.68
116,Korla,CN,2022-05-03 19:53:23,41.7597,86.1469,68.77,17,7,2.73
117,Buala,SB,2022-05-03 19:53:23,-8.145,159.5921,80.01,74,81,4.32
118,Sokolow Podlaski,PL,2022-05-03 19:53:24,52.4068,22.2531,45.05,91,63,5.97
119,Preobrazheniye,RU,2022-05-03 19:53:24,42.9019,133.9064,47.5,70,99,8.12
120,Jacareacanga,BR,2022-05-03 19:51:37,-6.2222,-57.7528,84.22,78,57,2.26
121,Brae,GB,2022-05-03 19:53:25,60.3964,-1.353,43.9,82,100,14.72
122,Panalingaan,PH,2022-05-03 19:53:25,8.7842,117.4231,77.63,86,90,2.26
123,Korem,ET,2022-05-03 19:53:26,12.5058,39.5228,60.1,53,0,3.89
124,Port Elizabeth,ZA,2022-05-03 19:53:26,-33.918,25.5701,66.49,97,100,12.66
125,Kutum,SD,2022-05-03 19:53:27,14.2,24.6667,85.08,19,63,6.91
126,Maniitsoq,GL,2022-05-03 19:53:27,65.4167,-52.9,26.78,86,100,1.07
127,Te Anau,NZ,2022-05-03 19:53:28,-45.4167,167.7167,47.14,91,66,1.05
128,Plettenberg Bay,ZA,2022-05-03 19:51:43,-34.0527,23.3716,62.64,93,2,2.77
129,Butaritari,KI,2022-05-03 19:53:28,3.0707,172.7902,81.93,75,27,12.82
130,Taga,RO,2022-05-03 19:53:29,46.95,24.05,52.32,83,98,1.81
131,Mahebourg,MU,2022-05-03 19:53:29,-20.4081,57.7,77.29,88,40,5.75
132,Lagoa,PT,2022-05-03 19:53:30,39.05,-27.9833,61.7,85,58,11.21
