City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
312,Krabi,TH,82.06,few clouds,8.0726,98.9105,Tharapark View Hotel
321,Trincomalee,LK,81.18,few clouds,8.5711,81.2335,Welcombe Hotel
336,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
338,Les Cayes,HT,85.55,few clouds,18.2,-73.75,Villa Orphee
351,Manggar,ID,80.76,overcast clouds,-2.8833,108.2667,Guest Hotel
354,Lexington,US,75.94,few clouds,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
358,Tabas,IR,77.77,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
360,San Ramon,US,75.81,clear sky,37.7799,-121.978,San Ramon Marriott
362,Harper,LR,79.81,clear sky,4.375,-7.7169,Screensaver
366,Aswan,EG,89.11,clear sky,24.0934,32.907,Nuba Nile
377,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
378,San Cristobal,VE,84.38,overcast clouds,7.7669,-72.225,Pirineos
379,Lazaro Cardenas,MX,86.43,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
393,Hobyo,SO,78.44,few clouds,5.3505,48.5268,Iftin hotel hobyo
396,Grand Forks,US,80.53,few clouds,47.9417,-97.4337,Warrior Inn
398,Palembang,ID,75.29,mist,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
401,Sola,VU,80.47,overcast clouds,-13.8833,167.55,Leumerus Bungalows
403,Dzilam Gonzalez,MX,86.0,overcast clouds,21.2833,-88.9333,posadas
404,Marsa Matruh,EG,76.17,clear sky,31.3525,27.2453,Beau Site
405,Carupano,VE,84.25,overcast clouds,10.6678,-63.2585,Hotel La dorada
407,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
411,Fez,MA,80.85,light thunderstorm,34.0372,-4.9998,Hotel Mounia Fès
414,Mariel,CU,75.34,moderate rain,22.9875,-82.7536,Casa De Alojamiento Marilda
415,Gat,IL,80.4,clear sky,31.61,34.7642,OlusHome
418,Marsh Harbour,BS,81.14,moderate rain,26.5412,-77.0636,Abaco Beach Resort
419,Ormara,PK,81.16,clear sky,25.2088,64.6357,Kenara Colony house for Rent
422,Samarai,PG,78.12,broken clouds,-10.6167,150.6667,Nuli Sapi
424,Kemise,ET,75.96,scattered clouds,10.7167,39.8667,Hussen Endris
427,Kieta,PG,78.82,light rain,-6.2167,155.6333,Uruna Bay Retreat
432,Sibolga,ID,75.27,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
435,Bubaque,GW,81.86,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
438,Pozo Colorado,PY,81.63,overcast clouds,-23.4923,-58.7972,Hospedaje La Norteña
440,Banes,CU,85.98,overcast clouds,20.9625,-75.7186,Hostal Iván y yailet
441,Dalbandin,PK,82.96,clear sky,28.8947,64.4101,Sanjrani House
446,Port-Gentil,GA,75.16,few clouds,-0.7193,8.7815,Fengshui Residence
447,Norman,US,89.06,clear sky,35.2226,-97.4395,"Country Inn & Suites by Radisson, Norman, OK"
449,Manta,EC,80.38,scattered clouds,-0.95,-80.7333,Balandra Hotel
451,Banjarmasin,ID,75.34,overcast clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
452,Isangel,VU,75.51,clear sky,-19.55,169.2667,Tanna Lodge
454,Show Low,US,80.65,clear sky,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
463,North Platte,US,89.49,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
466,Kipini,KE,80.89,overcast clouds,-2.5257,40.5262,Delta Sea Mall
468,Lewiston,US,78.98,clear sky,44.1003,-70.2148,Hilton Garden Inn Auburn Riverwatch
469,Barbacoas,CO,83.32,moderate rain,1.6715,-78.1398,edificio justin
470,Gumia,IN,85.19,few clouds,23.7833,85.8167,Dj Banti Rmx Hosir
475,Kailua,US,82.38,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
476,Anloga,GH,81.93,scattered clouds,5.7947,0.8973,Pin Drop Hotel
477,Srivardhan,IN,83.08,clear sky,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
482,Dabou,CI,79.45,overcast clouds,5.3256,-4.3769,Résidence N'Da
484,Changji,CN,79.59,clear sky,44.0167,87.3167,Lvye Holiday Resort
485,Miraflores,MX,75.96,overcast clouds,19.2167,-98.8083,Hotel Mansión
487,Ewa Beach,US,82.35,broken clouds,21.3156,-158.0072,Base Lodging
498,Padang,ID,77.07,overcast clouds,-0.9492,100.3543,Mercure Padang
499,Toucheng,TW,77.45,scattered clouds,24.8592,121.8233,和風時尚VILLA會館
500,Honiara,SB,76.69,overcast clouds,-9.4333,159.95,Heritage Park Hotel
506,Salamiyah,SY,76.89,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
510,Guanare,VE,87.82,overcast clouds,9.0418,-69.7421,Nuevo Hotel Coromoto
511,Tiarei,PF,82.42,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
514,Jacareacanga,BR,88.41,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
516,Bambous Virieux,MU,75.45,light rain,-20.3428,57.7575,Casa Tia Villa
517,Balkanabat,TM,77.88,clear sky,39.5108,54.3671,Nebitchi Hotel
